,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,underscoreURL,subURl,clientURL,adminURL,serverURL,loginURL,dns,domainAge,domainEnd,iframe,forwarding,label
0,graphicriver.net,138,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,foursquare.com,180,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2,shop-pro.jp,89,6,0,0,1,0,5,0,0,0,0,0,1,1,1,0,0
3,motthegioi.vn,100,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0
4,tobogo.net,113,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
5,nypost.com,86,4,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
6,kienthuc.net.vn,95,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
7,thenextweb.com,116,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
8,xhamster.com,97,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9,medium.com,116,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,extratorrent.cc,115,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,tune.pk,89,3,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
12,sfglobe.com,105,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,metro.co.uk,86,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,maybank2u.com.my,176,4,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
15,correios.com.br,91,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
16,twitter.com,283,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
17,tobogo.net,110,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
18,allegro.pl,112,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
19,allegro.pl,113,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
20,tobogo.net,106,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
21,kenh14.vn,98,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
22,atwiki.jp,88,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
23,olx.co.id,99,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
24,nguyentandung.org,89,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
25,olx.co.id,109,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
26,spankbang.com,87,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,torcache.net,158,2,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
28,mic.com,93,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,plarium.com,107,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,emgn.com,84,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31,venturebeat.com,109,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,serverfault.com,90,3,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
33,kakaku.com,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,twitter.com,281,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
35,paytm.com,99,8,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
36,distractify.com,87,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,sourceforge.net,88,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,babal.net,111,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
39,serverfault.com,97,3,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
40,cookpad.com,86,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
41,plarium.com,89,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,pikabu.ru,85,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,babal.net,344,4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
44,wordpress.org,93,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45,nguyentandung.org,92,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
46,getpocket.com,102,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,extratorrent.cc,99,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
48,extratorrent.cc,85,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
49,censor.net.ua,125,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,distractify.com,87,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
