,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,underscoreURL,subURl,clientURL,adminURL,serverURL,loginURL,dns,domainAge,domainEnd,iframe,forwarding,label
0,ervjeurv80.onedumb.com,31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,rechargejio.lagoo.in,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,att-102401.weeblysite.com,34,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
3,amazon-dcvbnm.wikaba.com,33,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4,airdrop.zskync.com,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,is.gd,35,1,0,1,0,0,2,1,0,0,0,0,1,1,1,0,1
6,fqvepostles.firebaseapp.com,36,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
7,cranialfacialrerlease.project100staging.com,60,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,ibjkxyxv.duckdns.org,29,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
9,lakesreek.ml,37,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
10,meta-business-case-bedc6.web.app,41,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
11,cf-ipfs.com,71,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
12,pocketcacd.co.jp.vnchol.top,58,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1
13,creditasjis.com,55,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1
14,cnfrmationsaccountfb-0192839182342353.work.gd,54,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
15,direct2.jp-bamk.japanpost.jp.zngnw.com,51,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1
16,dwsdmss.sendsmtp.com,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,infura-ipfs.io,86,3,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1
18,644su-baaaa-aaaad-qe77q-cai.ic.fleek.co,48,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,humancentrictech.com,39,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1
20,trinityhealthcarebrookline.com,43,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
21,f749cf76-3011-452f-adc7-a540d05c74d1.id.repl.co,56,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
22,oewsmstc.info,89,2,1,1,0,0,2,0,0,0,1,0,0,0,1,1,1
23,carousell.funde.shop,57,2,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
24,inicio.ficohsaingresa.repl.co,38,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
25,nftstorage.link,86,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
26,info.dan.ske.dokument.34-237-124-147.cprapid.com,72,2,1,0,1,0,2,0,0,0,1,0,0,0,1,1,1
27,citizensbankpaymentverify.authorizeddns.net,68,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
28,defiappsprotocol.firebaseapp.com,39,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
