domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,underscoreURL,subURl,clientURL,adminURL,serverURL,loginURL,dns,domainAge,domainEnd,iframe,forwarding,label
grantland.com,91,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ipfs.io,97,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
t.co,32,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
recoverysupport.infinityvehicles.in,48,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
fir41109.firebaseapp.com,33,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
connection-orangebank-certicode.derlma.com,59,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
superuser.com,86,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
500px.com,84,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
telegra.ph,28,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
extratorrent.cc,87,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
app.3-88-145-91.cprapid.com,36,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
gbhjglobal.info,64,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
infura-ipfs.io,74,2,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
alerta.marielarlhuehue.repl.co,39,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
olx.co.id,113,7,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
mega-panelas-imperdivel.com,61,3,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1
elcomercio.pe,140,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
invoices.creditunion-financial.com,86,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
plarium.com,91,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
arubahost.it.sell.20-57-10-180.cprapid.com,87,4,1,0,1,0,2,0,0,0,0,0,0,0,1,1,1
emgn.com,85,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
is.gd,20,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1
sg-dbspay.top,22,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
torcache.net,126,2,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
sourceforge.net,102,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sourceforge.net,105,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
nftstorage.link,75,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
babal.net,168,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
interpark.com,150,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
grantland.com,124,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
alertabradesco.com,37,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1
moviepilot.com,110,5,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
ce.do,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
tobogo.net,107,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
searchengineland.com,100,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
atwiki.jp,191,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
seekingalpha.com,85,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
akhbarelyom.com,115,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
buzzfil.net,178,4,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0
infura-ipfs.io,84,3,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1
emgn.com,89,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
kickass.to,96,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
d1rect.smtb.jp.slovebaby.com,64,3,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1
ipfs.eth.aragon.network,96,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
pub-6502dddebdc447ed9023277db681dd94.r2.dev,60,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
caneasy.com.cn,25,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
plarium.com,115,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
danli.lilyve.ru,117,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
yum.tgelegrem.vip,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
